ID_noticia;fecha;diario;país;ubicacion_noticia;enlace;abuso sexual;pretensiones sexuales;acoso sexual;acoso callejero;agresion sexual;ciberviolencia;feminicidio;grooming;explotacion sexual;matrimonio forzado;mutilacion genital;sumision quimica;trata de mujeres;discriminacion femenina;violencia machista;machismo;violacion;violaciones;violencia bajo el efecto de sustancias;violencia de genero;violencia digital;violencia domestica;violencia familiar;violencia intrafamiliar;violencia economica;violencia vicaria;violencia psicologica;violencia sexual;violencia sobre la salud sexual y reproductiva;misoginia;asesinatos de mujeres;asesinadas;dominacion masculina;techo de cristal;violencia contra la mujer;violencia docente;violencia en la comunidad;violencia fisica;violencia institucional;violencia laboral;violencia patrimonial;discriminacion contra la mujer;estupro;hostigamiento sexual;microagresiones;sexismo;violencia simbolica;acoso laboral;acceso carnal violento;acto sexual violento;induccion a la prostitucion;constrenimiento a la prostitucion;violencia sexual cibernetica;pornografia;aborto forzado;acto de naturaleza sexual;analisis de genero;ciberacoso;ciberhostigamiento;consentimiento;crimenes por motivo de genero;crimenes sexuales;cultura de violacion;doxing;embarazo forzado;esclavitud sexual;esterilizacion forzada;genero;matrimonio infantil;mendicidad;mutilacion genital femenina;perspectiva de genero;revenge porn;servidumbre;servidumbre por deudas;victima;sobreviviente;violencia emocional;violencia estructural;violencia obstetrica
COL_20161110151010_3;10/11/2016;elcolombiano;Colombia;Antioquia, Medellín;;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;3;0;0;0;0
COL_20161128234638_8;28/11/2016;elcolombiano;Colombia;sin especificar departamento, sin especificar municipio;;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
COL_20161208223812_78;8/12/2016;elcolombiano;Colombia;sin especificar departamento, sin especificar municipio;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
COL_20161216212441_9;16/12/2016;elcolombiano;Estados Unidos, Colombia, India;sin especificar departamento, sin especificar municipio;;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
COL_20161228163630_10;28/12/2016;elcolombiano;Colombia;Bogotá D.C., Bogotá;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;19;0;0;0;0;0;8;0;0;0;4;0;0;0;1;0;0;3;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;7;0;0;0;0
COL_20170105180559_5;5/01/2017;elcolombiano;Argentina, Colombia, Dominica, Chile, Ecuador;Cauca, Buenos Aires;;2;0;0;0;0;0;14;0;0;0;0;0;0;0;1;1;10;10;0;4;0;0;0;0;0;0;0;0;0;0;1;7;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;1;2;0;0;0
COL_20170213001621_6;13/02/2017;elcolombiano;Colombia;sin especificar departamento, sin especificar municipio;;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0
COL_20170301123939_7;1/03/2017;elcolombiano;Colombia;Bogotá D.C., Bogotá;;0;0;2;0;3;0;20;0;0;0;0;0;0;0;0;0;10;10;0;2;0;0;0;2;0;0;0;1;0;0;2;3;0;0;1;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;5;1;0;0;0
COL_20170308184950_8;8/03/2017;elcolombiano;Colombia;Bogotá D.C., Bogotá;;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;6;6;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0
COL_20170502123218_9;2/05/2017;elcolombiano;Colombia;Antioquia, Salgar;;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0;0
COL_20171204015157_10;4/12/2017;elcolombiano;Colombia;Atlántico, Santa Lucía;;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
COL_20171219185925_11;19/12/2017;elcolombiano;Colombia;Antioquia, Girardota;;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;1;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
COL_20171220162930_12;20/12/2017;elcolombiano;Colombia;Antioquia, Andes;;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;3;3;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
COL_20180116165818_13;16/01/2018;elcolombiano;Colombia;Antioquia, Medellín;;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;4;0;0;0;0
COL_20180218042604_14;18/02/2018;elcolombiano;Colombia;Antioquia, Santa Bárbara;;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
COL_20180506232848_15;6/05/2018;elcolombiano;Colombia;Casanare, Yopal;;0;0;0;0;0;0;3;0;2;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;3;0;0;0;0
